k_numbers,imdrf_codes,count
K790582,A140901,3
K790582,A14,4
K790582,A140902,1
K790582,A1405,2
K790582,A1203,1
K790582,A040102,1
K790582,A0501,1
K790582,A27,2
K790582,F28,2
K790582,A1407,1
K790108,A0504,29
K790108,,118
K790108,A140502,3
K790108,A0404,22
K790108,A140501,6
K790108,A1203,5
K790108,A0401,15
K790108,A0413,3
K790108,A14,3
K790108,A140901,4
K790108,A0507,1
K790108,A0402,1
K790108,A150207,1
K790108,A0104,1
K790108,A051201,1
K790108,A180104,1
K970485,,11
K970485,A0401,1
K002138,A24,1
K002138,A26,3
K002138,E2401,3
K002138,F24,3
K002138,,1
K041545,A040103,2
K041545,A26,1
K041545,E2401,1
K041545,F24,1
K033563,A040102,3
K033563,A24,2
K090012,A14,6
K870866,,5
K001989,A27,2
K001989,F28,2
K083124,,57
K083124,A070908,9
K083124,A090803,12
K083124,A24,9
K083124,A090801,3
K083124,A1702,3
K083124,A26,3
K083124,E2401,3
K083124,F24,3
K083124,A1301,24
K083124,A0709,9
K083124,A1205,6
K083124,A12,3
K083124,A090804,3
K083124,A0202,3
K083124,A2303,3
K083124,A25,3
K083124,A0721,3
K083124,A09,3
K983436,,1
K031270,A0504,1
K051645,A0501,2
K051645,A24,1
K100584,A24,1
K100584,A0401,2
K943462,A24,8
K943462,A040102,2
K952830,A010402,1
K952830,A01,1
K952830,A24,15
K952830,A040102,1
K952830,A150206,1
K133607,A24,1
K834402,A24,4
K834402,A26,1
K834402,E2401,1
K834402,F24,1
K113848,A26,6
K113848,E2401,6
K113848,F24,6
K113848,A24,8
K113848,A051201,2
K091423,A040502,2
K091423,A0401,2
K091423,A26,2
K091423,E2401,2
K091423,F24,2
K092461,,4
K051348,A26,2
K051348,E2401,2
K051348,F24,2
K113869,A040609,26
K113869,A040508,13
K113869,A020102,24
K113869,A1203,24
K113869,A040601,13
K113869,A040607,12
K943934,A0501,2
K002857,A140503,1
K002857,A1409,1
K800178,A26,10
K800178,E2401,10
K800178,F24,10
K800178,A0501,2
K800178,,4
K891687,A0504,14
K891687,A0501,6
K891687,A1202,1
K891687,A2305,1
K842375,A040101,60
K842375,A0407,6
K842375,,16
K842375,A0401,18
K842375,A040605,6
K842375,A0413,6
K123298,A0504,24
K123298,A05,4
K123298,A0413,4
K123298,A0411,12
K123298,A24,4
K123298,,4
K123298,A0401,4
K123298,A1802,4
K934127,,6
K934127,A150202,6
K964248,A0412,1
K964248,A0504,1
K981909,A180104,5
K981909,A24,3
K120780,,5
K120780,A24,12
K120780,A150206,1
K120780,A1406,6
K120780,A1407,2
K120780,A0412,3
K120780,A150205,1
K120780,A1401,2
K120780,A23,2
K120780,A0504,5
K120780,A141102,1
K120780,A14,1
K120780,A22,1
K120780,A150208,1
K120780,A1411,1
K120780,A0401,1
K120780,A09,1
K123370,A1802,24
K123370,,13
K123370,A030205,15
K123370,A24,6
K123370,A0413,3
K123370,A0201,3
K123370,A180104,3
K123370,A04,3
K123370,A020102,3
K123370,A0401,3
K123370,A0504,3
K123370,A05,3
K140208,A0404,3
K964199,A040607,1
K171308,A0404,1
K171308,A0413,3
K171308,A1203,2
K171308,A1205,1
K171308,A1409,1
K171308,,1
K171308,A05,1
K171308,A12,1
K990396,A04,12
K990396,A0406,3
K990396,A0401,1
K052570,A090206,2
K061037,A0401,300
K061037,,186
K061037,A170102,12
K061037,A27,12
K061037,F28,12
K061037,A0413,6
K061037,A040605,2
K182873,A0401,25
K113004,A0401,36
K113004,A27,16
K113004,F28,16
K113004,,27
K113004,A020502,1
K073262,A090801,4
K073262,A090204,1
K091382,A040102,1
K091382,A0511,1
K091382,,3
K091382,A140304,1
K091382,A26,1
K091382,E2401,1
K091382,F24,1
K091382,A051204,1
K965080,,2
K845045,,2
K831759,A0413,5
K831759,A0401,1
K971291,A170102,1
K971291,A23,1
K971291,A04,1
K971291,A24,1
K875353,A020102,7
K875353,A0206,1
K875353,A12,1
K875353,A24,1
K120072,A0401,3
K120072,A040101,3
K120072,A27,4
K120072,F28,4
K120072,A180104,8
K120072,A170102,8
K120072,,4
K120072,A0504,4
K033416,A0401,3
K013013,A040101,2
K010737,A0413,1
K831591,A0411,2
K831591,,2
K850385,A0501,1
K033463,A0504,2
K944290,A180104,20
K944290,A020503,4
K944290,A150207,12
K944290,,28
K944290,A0205,4
K944290,A0401,28
K944290,A020501,4
K944290,A0512,4
K103589,A0704,3
K072845,,8
K983112,A0404,6
K983112,A090201,1
K983112,A0401,3
K983112,A1203,2
K983112,A0504,3
K983112,,6
K983112,A1601,3
K983112,A0206,1
K983112,A12,1
K983112,A1407,1
K990951,A0401,80
K990951,A0501,110
K990951,A0413,1
K990951,,8
K990951,A040508,7
K990951,A24,5
K990951,A0201,1
K990951,A020602,3
K990951,A051204,1
K990951,A1205,1
K990951,A0101,1
K990951,A040102,1
K990951,A27,2
K990951,F28,2
K990951,A26,1
K990951,E2401,1
K990951,F24,1
K990951,A040609,1
K022269,A27,63
K022269,F28,63
K022269,,89
K022269,A0413,112
K022269,A0401,271
K022269,A040605,15
K022269,A2101,8
K022269,A0104,3
K022269,A24,12
K022269,A04,2
K022269,A010103,1
K022269,A020701,2
K022269,A020503,4
K022269,A0201,1
K022269,A150201,1
K022269,A170102,4
K022269,A020601,3
K022269,A18,1
K981935,A0401,1
K033746,A0401,21
K033746,,36
K033746,A27,22
K033746,F28,22
K033746,A2101,1
K013826,A0501,1
K963253,A24,22
K963253,A0401,270
K963253,,42
K963253,A0501,93
K963253,A040103,2
K963253,A0405,4
K963253,A040605,2
K963253,A0101,25
K963253,A051204,5
K963253,A040508,17
K963253,A0413,2
K963253,A150207,1
K963253,A0201,2
K963253,A020602,6
K963253,A150203,1
K963253,A0205,1
K963253,A150205,1
K963253,A0504,1
K963253,A150208,1
K963253,A05,1
K961446,A010101,1
K961446,A040501,2
K961446,A150207,1
K961446,A0401,2
K961446,A0501,1
K961446,A0404,1
K961446,A24,2
K860267,,1
K151051,,12
K151051,A040609,1
K151051,A0401,8
K151051,A040101,2
K151051,A0204,3
K151051,A0404,5
K151051,A18,1
K151051,A0413,1
K151051,A010101,1
K151051,A040501,1
K151051,A0501,1
K151051,A040506,2
K151051,A040602,1
K090483,,1
K090483,A0504,1
K043179,A0401,2
K043179,A040101,1
K043179,A04,1
K102420,A24,1
K102420,,1
K022071,A24,1
K000430,,2
K884129,A1206,2
K031037,A0512,2
K031037,A020102,1
K031037,A020602,1
K031037,,6
K031037,A051204,1
K031037,A0404,1
K031037,A040103,1
K092371,A24,3
K000037,A040508,12
K000037,A0501,69
K000037,A0101,5
K000037,A0401,101
K000037,A0104,1
K000037,,9
K000037,A24,6
K000037,A020602,1
K000037,A0507,2
K000037,A040605,3
K000037,A0405,1
K031286,,38
K031286,A24,8
K031286,A040605,2
K031286,A0201,3
K031286,A0405,8
K031286,A0206,2
K031286,A0401,24
K031286,A0501,8
K031286,A27,2
K031286,F28,2
K031286,A020501,1
K031286,A2101,2
K031286,A04,1
K031286,A020701,1
K031286,A0205,1
K031286,A020602,2
K031286,A051204,1
K031286,A020502,1
K071380,A040506,1
K033090,,1
K033090,A051204,1
K033090,A0401,1
K113475,,120
K113475,A0104,10
K113475,A0401,14
K113475,A24,116
K113475,A2303,5
K113475,A040101,10
K113475,A0501,20
K113475,A26,5
K113475,E2401,5
K113475,F24,5
K113475,A1502,5
K113475,A051201,5
K113475,A040103,5
K113475,A23,5
K113475,A070803,5
K113475,A2105,5
K113475,A2301,4
K152842,A150103,5
K152842,A070101,5
K152842,A0203,5
K152842,A010402,5
K152842,A150101,5
K152842,A150204,5
K050814,A150206,9
K050814,A150204,14
K050814,A051204,18
K050814,,101
K050814,A051201,36
K050814,A1205,8
K050814,A0504,10
K050814,A150202,10
K050814,A0501,10
K050814,A1401,10
K050814,A140801,1
K050814,A1204,1
K050814,A0402,16
K050814,A150203,5
K050814,A0401,16
K050814,A0104,6
K050814,A0413,5
K050814,A1208,2
K050814,A0506,1
K050814,A26,10
K050814,E2401,10
K050814,F24,10
K050814,A150201,10
K050814,A1502,8
K050814,A24,10
K050814,A1406,5
K050814,A180103,1
K050814,A150207,7
K050814,A040607,2
K050814,A150205,5
K050814,A150208,2
K050814,A150103,5
K050814,A1409,4
K050814,A27,5
K050814,F28,5
K050814,A041001,1
K050814,A051101,1
K050814,A210101,1
K050814,A150101,1
K050814,A2303,3
K050814,A0406,1
K050814,A1407,1
K050814,A0412,7
K050814,A0510,2
K050814,A010402,1
K050814,A040601,1
K050814,A140901,2
K050814,A0411,1
K050814,A040101,1
K050814,A010103,2
K050814,A05,1
K050814,A020602,1
K141584,,26
K141584,A0401,2
K141584,A24,1
K141584,A1502,3
K141584,A150101,1
K181607,A04,5
K181607,A26,5
K181607,E2401,5
K181607,F24,5
K133785,A020701,1
K142084,A24,35
K142084,A1409,1
K142084,A1408,3
K142084,A23,1
K061593,A26,1
K061593,E2401,1
K061593,F24,1
K080292,A24,1
K063331,A050702,55
K063331,A150206,11
K063331,,11
K063331,A141101,11
K121675,A0401,4
K121675,A0504,4
K121675,A090201,4
K121675,A050702,4
K060692,A24,12
K060692,A010202,5
K060692,A040101,1
K060692,A040102,1
K023096,,5
K120174,A040101,16
K120174,A24,14
K120174,A051201,8
K121627,A26,1
K121627,E2401,1
K121627,F24,1
K121297,A2101,1
K081124,A26,1
K081124,E2401,1
K081124,F24,1
K113789,A0401,2
K113789,A1205,1
K171273,A05,2
K171273,A2101,2
K093944,A0103,1
K042673,A0401,4
K042673,A040101,2
K042673,,2
K150254,A0401,6
K150254,A150206,3
K150254,A0406,3
K150254,A040101,3
K150254,A24,3
K042025,A0401,4
K112757,A0401,1
K112757,A24,1
K031655,A0401,2
K133556,A1205,10
K133556,A051201,2
K133556,A1502,2
K081297,A0401,1
K072417,A24,1
K072417,A040504,1
K072417,A26,1
K072417,E2401,1
K072417,F24,1
K080625,A040502,1
K080625,A24,2
K080625,A26,2
K080625,E2401,2
K080625,F24,2
K080625,A040101,1
K983382,A040101,1
K042992,A24,84
K042992,A26,3
K042992,E2401,3
K042992,F24,3
K042992,A040502,10
K042992,A010101,13
K042992,A0408,1
K042992,A010202,35
K042992,A23,2
K042992,A010103,7
K042992,A1205,3
K042992,A0405,10
K042992,A040101,7
K042992,A0102,3
K042992,A0204,1
K042992,,2
K042992,A210101,1
K042992,A010201,1
K042992,A051201,1
K042992,A010402,1
K042992,A040507,1
K042992,A040102,1
K042992,A0104,1
K042992,A150202,1
K123991,A24,2
K123991,A040502,3
K123991,A0405,1
K041451,A0104,2
K864489,A24,1
K060226,,4
K122450,A110702,7
K122450,A11,7
K081467,,61
K081467,A23,5
K081467,A0401,39
K081467,A090404,5
K081467,A090201,3
K111705,A140508,3
K140151,A090201,3
K140151,,5
K140151,A05,5
K140151,A140508,3
K130904,A040101,26
K130904,A1406,14
K130904,A24,66
K130904,,28
K130904,A0401,12
K130904,A0402,22
K130904,A010103,2
K130904,A0412,10
K130904,A1401,6
K130904,A2303,2
K130904,A27,2
K130904,F28,2
K130904,A1203,2
K000177,A0401,46
K000177,A150207,6
K000177,A040506,4
K000177,A150208,2
K000177,A0501,9
K000177,A040101,3
K000177,,7
K000177,A0504,3
K000177,A24,3
K023681,A0501,1
K023681,A0512,1
K023681,A24,1
K023681,,2
K924661,A0401,3
K924661,A2305,3
K924661,,6
K924661,A090805,3
K020012,A150208,2
K020012,,1
K020012,A0401,3
K020012,A040506,1
K020012,A150206,2
K132652,A040505,7
K132652,A1502,4
K132652,,2
K132652,A0406,1
K071468,A1208,15
K071468,A26,2
K071468,E2401,2
K071468,F24,2
K071468,A24,3
K071468,A0401,1
K012157,A26,2
K012157,E2401,2
K012157,F24,2
K120789,A11,5
K120789,A23,1
K933227,A051201,2
K933227,A0501,2
K862056,A0406,90
K862056,,42
K862056,A0413,30
K862056,A0401,30
K862056,A0404,45
K862056,A140901,30
K862056,A1409,15
K862056,A150207,30
K862056,A0504,15
K862056,A040508,30
K862056,A180104,9
K862056,A010401,15
K042910,A24,2
K061843,A0401,1
K780532,A0406,1
K780532,A0404,1
K141547,A0501,3
K141547,A0401,1
K010853,A0504,1
K980453,A0401,20
K072225,A0412,5
K080151,A0401,5
K072313,A0510,3
K072313,A150204,2
K072313,,4
K072313,A010103,1
K072313,A0104,1
K072313,A150207,4
K072313,A26,2
K072313,E2401,2
K072313,F24,2
K010954,,1
K112404,A1401,1
K112404,,1
K052257,A0501,2
K052257,A040101,1
K052257,A040103,2
K052257,A0203,3
K052257,,1
K052257,A0401,1
K092886,A1409,1
K013789,,2
K013789,A24,1
K013789,A0401,4
K934901,A0401,6
K003731,,8
K003731,A0401,28
K003731,A020102,16
K042568,A020602,7
K042568,A0401,28
K042568,A0413,14
K042568,A0504,14
K083422,A0501,1
K083422,A040506,2
K102725,A27,1
K102725,F28,1
K102725,A150204,1
K112082,A150207,3
K112082,A180104,1
K112082,A020102,4
K112082,A0413,8
K112082,,1
K021589,A150203,1
K033441,A0401,3
K033441,,9
K033441,A150207,2
K033441,A0413,1
K033441,A150204,1
K052791,A0402,1
K052791,,1
K103367,A0401,12
K103367,,6
K103367,A0501,36
K103367,A0510,4
K121611,A0401,1
K121611,A150207,1
K121611,A0104,1
K121611,A040101,2
K121611,,1
K100238,A24,925
K091566,A040101,2
K011857,,3
K011857,A050701,1
K011857,A0401,1
K010322,A050701,1
K153729,A040101,4
K153729,A1401,12
K153729,,5
K153729,A0412,8
K153729,A24,3
K153729,A041001,1
K091527,A0412,26
K091527,,2
K091527,A1406,2
K091527,A0404,1
K091527,A24,1
K091527,A040101,1
K091527,A1401,1
K021587,A0101,1
K021587,A170101,1
K021587,A0712,1
K021587,A150206,1
K963624,A1006,1
K072506,A23,1
K173718,,1
K090495,A090809,59
K090495,,5
K090495,A090810,5
K090495,A24,1
K090495,A23,1
K090495,A090201,1
K090495,A0201,1
K040814,A090808,7
K040814,,93
K040814,A070803,10
K040814,A090201,9
K040814,A090807,16
K040814,A090811,2
K040814,A090204,2
K040814,A0907,8
K040814,A0708,1
K040814,A27,1
K040814,F28,1
K040814,A24,2
K040814,A08,4
K040814,A090206,2
K091547,,10
K013566,A24,15
K013566,A090810,2
K013566,,1
K013566,A0302,22
K013566,A090809,3
K032657,A090206,8
K032657,A090809,426
K032657,A090810,130
K032657,,116
K032657,A0907,2
K032657,A24,3
K032657,A0203,2
K032657,A0902,2
K032657,A090204,18
K032657,A0705,2
K032657,A090812,1
K032657,A090201,7
K032657,A1703,1
K032657,A1403,1
K032657,A090808,1
K171652,,7
K171652,A24,2
K160944,,93
K160944,A090807,1
K160944,A090809,3
K150817,A090807,26
K150817,A090808,5
K150817,A090810,2
K150817,,1
K150817,A2303,1
K150817,A24,4
K150817,A1107,1
K150817,A0907,1
K150817,A09,1
K111387,A10,3
K152408,A090804,9
K152408,,23
K152408,A090803,2
K120413,A090804,60
K092562,A24,9
K172220,A0705,25
K093882,,1
K102726,A1206,6
K102726,A0407,5
K102726,,201
K102726,A020701,5
K102726,A1404,30
K102726,A0709,12
K102726,A0205,18
K102726,A090811,3
K102726,A141102,5
K102726,A141401,10
K102726,A1407,6
K102726,A0504,6
K102726,A1405,5
K012380,A0803,1
K011992,A0501,2
K011992,A210101,2
K151359,A0506,29
K151359,A05,18
K151359,A11,232
K151359,A0801,12
K151359,A26,6
K151359,E2401,6
K151359,F24,6
K151359,A051205,28
K151359,A0803,29
K151359,A08,6
K151359,A090204,6
K151359,A0401,6
K151359,A040609,5
K151359,A12,5
K101791,A11,290
K101791,A0803,55
K101791,A08,33
K101791,A0401,11
K101791,A0902,11
K101791,A1601,12
K101791,A05,11
K101791,,11
K101791,A12,11
K101791,A0801,5
K101791,A0512,1
K070106,A23,84
K070106,A24,10
K070106,,12
K070106,A1502,5
K172444,A11,624
K172444,A0506,45
K172444,A051205,27
K172444,A0803,66
K172444,A1601,6
K172444,A05,30
K172444,A08,9
K172444,A1205,3
K172444,A23,9
K172444,A210105,3
K172444,A070803,3
K172444,A0203,3
K172444,A27,9
K172444,F28,9
K172444,A24,12
K172444,A26,3
K172444,E2401,3
K172444,F24,3
K172444,A0902,6
K172444,A0801,15
K172444,A0202,12
K172444,A090205,3
K172444,A090204,6
K172444,A0512,3
K172444,A12,9
K172444,A16,3
K172444,A0719,6
K172444,A020602,6
K172444,A210103,3
K172444,A090206,3
K172444,A160105,3
K172444,A1104,3
K141833,,1
K053159,A23,1
K082754,A0101,2
K,A090809,6
K,A090810,6
K,A0413,6
K,A0404,6
K100038,A0405,6
K100038,A0203,3
K100038,A0413,3
K100038,,3
K100038,A0206,3
K971247,A0512,10
K971247,,2
K182417,A0512,6
K182417,A150202,14
K182417,A11,130
K182417,A0803,26
K182417,A1501,2
K182417,,8
K182417,A0902,6
K182417,A051205,46
K182417,A0506,46
K182417,A1103,2
K182417,A05,8
K182417,A070803,4
K182417,A24,6
K182417,A090204,8
K182417,A110207,12
K182417,A23,6
K182417,A0801,6
K182417,A110702,2
K182417,A150208,2
K182417,A090206,2
K182417,A110401,2
K182417,A020601,2
K182417,A1502,2
K182417,A0507,4
K182417,A090302,2
K182417,A13,2
K182417,A04,4
K182417,A08,4
K182417,A1208,2
K182417,A051204,2
K182417,A090201,2
K182417,A2305,2
K182417,A1107,2
K182417,A12,2
K092467,A23,111
K092467,,1
K092467,A090201,2
K092467,A0406,2
K092467,A24,10
K092467,A05,2
K092467,A090204,1
K080376,A2303,1
K080376,A07,1
K122301,,24
K122301,A24,2
K122301,A020102,4
K122301,A2303,1
K820297,,18
K820297,A1413,28
K820297,A0504,139
K820297,A051104,2
K820297,A1408,13
K820297,A14,24
K820297,A1407,15
K820297,A0203,6
K820297,A23,4
K820297,A141303,4
K820297,A1409,2
K101113,A020102,2
K983511,A24,11
K983511,A0504,11
K842416,A0504,11
K993933,A150207,2
K120674,,3
K120674,A020701,3
K120674,A150207,1
K172583,A040101,4
K021008,,33
K021008,A0401,22
K021008,A24,11
K181026,A2101,3
K090857,A0401,13
K090857,A0506,3
K090857,A24,3
K101622,A150201,3
K101622,A150202,3
K153536,A040102,1
K034002,A0401,1
K921822,A1801,3
K921822,,3
K921822,A26,3
K921822,E2401,3
K921822,F24,3
K010801,A0401,1
K113128,A051101,2
K120902,A140507,1
K120902,A24,3
K120902,A1801,1
K120902,A26,1
K120902,E2401,1
K120902,F24,1
K111025,A0401,2
K111025,,1
K111025,A040101,2
K063442,,6
K063442,A1401,1
K063442,A140901,2
K063442,A090805,3
K063442,A090807,1
K063442,A0412,2
K063442,A090808,4
K021999,A150102,18
K021999,,31
K021999,A150204,8
K021999,A160201,1
K021999,A0718,1
K021999,A150201,2
K021999,A1602,2
K021999,A12,2
K021999,A16,1
K020935,,20
K020935,A090808,18
K020935,A090810,14
K020935,A27,2
K020935,F28,2
K020935,A020102,10
K063821,,4
K063821,A090809,2
K063821,A090807,2
K063821,A1005,2
K063821,A090201,2
K063821,A0401,2
K093297,A020102,2
K962942,A1601,1
K113798,A160106,4
K113798,A1601,8
K113798,A110702,4
K113798,A24,4
K102495,A26,17
K102495,E2401,17
K102495,F24,17
K102495,A27,6
K102495,F28,6
K102495,A1601,36
K102495,A24,14
K102495,A090201,6
K102495,A160102,12
K102495,A2303,6
K073462,A1007,7
K073462,A27,6
K073462,F28,6
K040676,A090201,1
K042873,A0401,2
K042873,A020102,2
K042873,,4
K042873,A24,2
K032257,,248
K032257,A0404,2
K032257,A0504,46
K032257,A020102,43
K032257,A2303,6
K032257,A0301,2
K032257,A190501,6
K032257,A1205,4
K032257,A24,4
K032257,A150102,2
K032257,A050703,4
K032257,A141401,4
K032257,A140901,2
K032257,A090201,4
K032257,A1601,2
K032257,A1403,2
K032257,A0401,4
K080639,A141401,1
K080639,,4
K080639,A24,1
K080639,A190501,1
K020069,A24,4
K020069,,2
K020069,A040101,39
K020069,A0401,12
K020069,A040103,2
K971221,A090810,2
K062720,A0401,5
K062720,A26,1
K062720,E2401,1
K062720,F24,1
K062720,A070804,1
K062720,A07,1
K062720,A040103,1
K062720,A2301,1
K111437,A0401,1
K151260,A0413,78
K151260,A0206,4
K111723,A0413,1
K111723,A24,1
K111723,A0509,2
K133023,A150208,20
K133023,A1413,17
K133023,A0401,7
K133023,A05,11
K133023,A0501,3
K133023,A0406,1
K133023,A24,1
K133023,A0502,1
K133023,A150101,1
K133023,,1
K133023,A150205,1
K133023,A1702,1
K133023,A150102,1
K133023,A0902,2
K133023,A0504,1
K170059,A1203,1
K170059,A0401,20
K170059,,8
K170059,A0101,1
K170059,A0413,4
K170059,A0501,11
K170059,A040508,1
K170059,A040101,2
K170059,A0506,1
K170059,A040103,1
K170059,A0510,1
K170059,A040506,1
K170059,A04,3
K170059,A050404,1
K170059,A24,9
K170059,A040605,1
K170059,A040102,2
K170059,A0406,3
K170059,A040610,1
K170059,A051101,1
K170059,A041001,2
K170059,A020102,1
K170059,A0404,3
K170059,A0410,2
K170059,A10,2
K170059,A051201,1
K170059,A23,1
K170059,A0801,1
K170059,A150204,1
K071427,A150204,3
K071427,A150208,10
K071427,A0401,19
K071427,,11
K071427,A070803,2
K071427,A150207,4
K071427,A05,5
K071427,A26,6
K071427,E2401,6
K071427,F24,6
K071427,A040103,2
K071427,A24,4
K071427,A191002,2
K071427,A0506,2
K090521,A040101,1
K090521,A26,1
K090521,E2401,1
K090521,F24,1
K090521,A0401,1
K133399,A05,1
K133399,A150204,1
K133399,,3
K133399,A150208,1
K133399,A191002,2
K133399,A1406,1
K133399,A26,1
K133399,E2401,1
K133399,F24,1
K133399,A040101,1
K133399,A24,1
K152181,A050703,1
K152181,A26,2
K152181,E2401,2
K152181,F24,2
K152181,A0408,1
K152181,,1
K152181,A24,2
K152181,A1405,1
K131872,A160102,1
K113125,A24,9
K113125,A1601,18
K152407,A1601,6
K062271,A1601,6
K062271,A160102,6
K062271,A26,3
K062271,E2401,3
K062271,F24,3
K062271,A090201,3
K062271,A160106,3
K131971,,1
K081983,A1601,10
K081983,,2
K081983,A23,2
K081983,A26,4
K081983,E2401,4
K081983,F24,4
K081983,A090201,2
K081983,A160102,4
K053514,A0102,2
K060370,A24,3
K060370,A0407,3
K150496,A040505,8
K150496,A040506,8
K951987,A26,33
K951987,E2401,33
K951987,F24,33
K951987,A051201,2
K951987,A24,22
K951987,A0104,1
K951987,A0502,1
K951987,A051204,1
K951987,A0509,3
K951987,A051207,2
K951987,,6
K951987,A05,1
K951987,A1205,2
K072858,A26,15
K072858,E2401,15
K072858,F24,15
K072858,A1502,15
K072858,,15
K936159,,6
K033272,A24,36
K032151,A040102,24
K032151,A24,36
K962152,A26,3
K962152,E2401,3
K962152,F24,3
K974556,A0102,1
K042343,A26,1
K042343,E2401,1
K042343,F24,1
K030978,A040101,1
K171054,A0406,4
K171054,A24,4
K171054,A040102,4
K113369,A24,106
K113369,A26,4
K113369,E2401,4
K113369,F24,4
K071071,A051204,4
K071071,A040101,4
K071071,A051201,8
K071071,A051207,8
K071071,A0401,8
K071071,A24,16
K071071,A26,36
K071071,E2401,36
K071071,F24,36
K071071,A1205,4
K093293,A0104,2
K122765,A26,1
K122765,E2401,1
K122765,F24,1
K122765,A24,1
K152170,A051207,1
K152170,A24,5
K033883,A24,6
K915132,A051207,1
K142933,A0104,1
K150890,A24,4
K150890,A0103,2
K121640,A1208,1
K121640,A0406,1
K121640,A27,1
K121640,F28,1
K121640,A26,1
K121640,E2401,1
K121640,F24,1
K121640,A23,1
K121640,,1
K121640,A24,1
K131409,A051207,1
K131409,A090802,1
K041106,A26,1
K041106,E2401,1
K041106,F24,1
K041106,A05,1
K122160,A0104,36
K173331,A0401,4
K081023,A1205,1
K032295,A0501,6
K032295,,18
K032295,A0509,6
K032295,A051201,24
K032295,A05,6
K032295,A051204,6
K032295,A150206,6
K032295,A26,12
K032295,E2401,12
K032295,F24,12
K896048,A24,6
K060569,A0102,1
K081127,A051204,3
K081127,A1205,1
K081127,A020102,1
K081127,A27,1
K081127,F28,1
K060742,A26,3
K060742,E2401,3
K060742,F24,3
K060742,A040101,3
K994370,A26,3
K994370,E2401,3
K994370,F24,3
K994370,A0501,3
K921182,A051207,1
K043440,A26,3
K043440,E2401,3
K043440,F24,3
K043440,A24,1
K160342,A26,5
K160342,E2401,5
K160342,F24,5
K160342,A27,2
K160342,F28,2
K160342,A0205,2
K160342,,2
K051146,A040103,1
K143242,A24,1
K102795,A24,12
K102795,A1502,3
K102795,A070908,2
K102795,A040101,2
K102795,A2303,2
K102795,A23,1
K102795,,2
K090988,A1205,1
K090988,A27,1
K090988,F28,1
K122883,A150206,1
K122883,A12,1
K122883,A2201,1
K122883,A1502,1
K122883,A23,1
K143393,,1
K143393,A0501,1
K160700,A27,12
K160700,F28,12
K160700,A24,46
K160700,A0201,14
K160700,A040102,2
K160700,A25,6
K060192,A0407,3
K060192,A27,2
K060192,F28,2
K060192,A26,1
K060192,E2401,1
K060192,F24,1
K060192,A0104,1
K140792,A0401,2
K153193,A1402,3
K153193,,15
K153193,A1407,15
K153193,A14,1
K153193,A040102,11
K153193,A140501,1
K153193,A11,1
K153193,A020601,1
K153193,A140505,1
K153193,A191002,1
K153193,A1601,1
K063268,A0413,1
K094040,A26,1
K094040,E2401,1
K094040,F24,1
K094040,,1
K094040,A1801,2
K094040,A14,1
K094040,A191002,1
K123979,A2101,10
K133801,A1601,7
K133801,A090201,21
K133801,A160105,7
K133801,A160102,7
K133801,A1402,21
K950419,A140502,16
K950419,,10
K950419,A0504,5
K950419,A1402,10
K111492,,2
K021908,,1
K933494,A24,5
K933494,A0103,1
K933494,A040507,2
K042993,A05,1
K090999,A150208,3
K090999,A0411,3
K142684,A0401,1
K142684,A04,1
K142684,,1
K142684,A0510,1
K142684,A0504,1
K101497,A04,30
K101497,,30
K122958,A24,120
K122958,A0205,30
K122958,A0405,30
K122958,A020102,30
K122958,,210
K122958,A0415,150
K122958,A180104,30
K122958,A26,30
K122958,E2401,30
K122958,F24,30
K122958,A0404,30
K122958,A0401,30
K122958,A27,30
K122958,F28,30
K964518,,2
K964518,A150207,1
K964518,A24,4
K964518,A26,1
K964518,E2401,1
K964518,F24,1
K964518,A0415,1
K110051,,4
K110051,A0404,2
K110051,A0401,5
K110051,A020602,1
K110051,A26,1
K110051,E2401,1
K110051,F24,1
K131079,A24,12
K131079,A2101,4
K131079,A150208,4
K072248,,1
K000313,A0501,2
K131300,,1
K121748,,1
K111417,A0404,1
K111417,A0504,1
K111417,,1
K111576,A10,22
K111576,A1004,36
K111576,A26,7
K111576,E2401,7
K111576,F24,7
K111576,A070803,10
K111576,A24,72
K111576,A13,21
K111576,A090201,6
K111576,A09,15
K111576,A0719,8
K111576,A2303,3
K111576,,9
K111576,A090402,6
K111576,A0904,2
K111576,A0301,5
K111576,A1005,3
K111576,A1009,15
K111576,A0406,4
K111576,A071302,1
K111576,A07,2
K111576,A1601,2
K111576,A072201,3
K111576,A072202,1
K111576,A090206,4
K111576,A0708,1
K111576,A0501,1
K111576,A0722,2
K111576,A0413,1
K111576,A19,2
K111576,A25,1
K111576,A05,1
K111576,A01,1
K111576,A1006,14
K111576,A0714,2
K111576,A0902,3
K111576,A090406,3
K111576,A1303,1
K111576,A1205,1
K111576,A090203,1
K130559,,5
K130559,A24,10
K130559,A2301,1
K130559,A26,4
K130559,E2401,4
K130559,F24,4
K130559,A0504,5
K130559,A2101,2
K043525,,4
K002507,A0401,1
K100819,A150207,1
K100819,A0413,1
K100819,A0510,1
K012584,A0401,1
K954317,A0501,2
K954317,,10
K954317,A0502,1
K954317,A0504,1
K954317,A24,1
K954317,A150207,1
K914090,A020601,4
K914090,,30
K914090,A041001,3
K914090,A150206,1
K914090,A0504,2
K914090,A040101,7
K914090,A0413,10
K914090,A24,5
K914090,A0410,1
